W,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
170,10,5,511,456,0.012987012987012988,684,623.1432748538011,587
170,20,0,15,42,0.7674701235568159,1260,373.9277777777778,3020
170,20,0,15,123,0.7710423919721483,1251,383.1646682653877,2940
170,20,0,15,456,0.7660304524983916,1257,405.61336515513125,2860
170,20,1,31,42,0.5219869706840391,1287,540.3069153069154,3040
170,20,1,31,123,0.5328705594120049,1270,543.9763779527559,2960
170,20,1,31,456,0.5459077690070627,1306,527.365237366003,2840
170,20,2,63,42,0.3218610579987253,1239,629.6174334140436,2960
170,20,2,63,123,0.3147914032869785,1229,639.9829129373475,2980
170,20,2,63,456,0.27044025157232704,1255,640.3298804780876,2860
170,20,3,127,42,0.1710758377425044,1177,709.5038232795242,2900
170,20,3,127,123,0.16568544995794784,1180,692.8610169491525,3040
170,20,3,127,456,0.17054908485856904,1178,716.7130730050934,3060
170,20,4,255,42,0.07965686274509803,1057,792.8278145695364,2840
170,20,4,255,123,0.10520361990950226,1068,777.2116104868913,3040
170,20,4,255,456,0.0799059929494712,1070,805.3710280373832,2980
170,20,5,511,42,0.015584415584415584,807,1081.2366790582405,1499
170,20,5,511,123,0.005361930294906166,788,1094.728426395939,1444
170,20,5,511,456,0.022727272727272728,796,1051.6670854271356,1397
170,30,0,15,42,0.8606316327835315,1209,442.57899090157156,4440
170,30,0,15,123,0.8649068322981367,1205,410.84066390041494,4290
170,30,0,15,456,0.8651219512195122,1215,413.78765432098766,4560
170,30,1,31,42,0.6717428087986463,1275,690.6407843137255,4530
170,30,1,31,123,0.6672144617912901,1208,745.6920529801324,4680
170,30,1,31,456,0.6886026323158779,1252,694.9129392971246,4320
170,30,2,63,42,0.40599455040871935,1276,898.5681818181819,4320
170,30,2,63,123,0.4065540194572453,1226,903.1231647634584,4620
170,30,2,63,456,0.39834710743801655,1219,892.9581624282199,4350
170,30,3,127,42,0.22263313609467456,1208,1017.3170529801324,4589
170,30,3,127,123,0.25453277545327757,1173,1008.541346973572,4650
170,30,3,127,456,0.2198581560283688,1185,1017.6075949367089,4260
170,30,4,255,42,0.12727272727272726,1120,1111.6625,4380
170,30,4,255,123,0.1396917148362235,1083,1167.1985226223453,4530
170,30,4,255,456,0.13213213213213212,1091,1113.7323556370302,4440
170,30,5,511,42,0.027184466019417475,839,1536.470798569726,2431
