part,tier,W,ppdu_duration,W_avail,K,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count,avg_tx_per_visit
2,B,170,20,150,7.5,30,3,127,123,0.25453277545327757,1173,1008.541346973572,4650,0.30838709677419357
2,B,170,20,150,7.5,30,3,127,456,0.2198581560283688,1185,1017.6075949367089,4260,0.29788732394366196
2,B,170,20,150,7.5,30,4,255,42,0.12727272727272726,1120,1111.6625,4380,0.22602739726027396
2,B,170,20,150,7.5,30,4,255,123,0.1396917148362235,1083,1167.1985226223453,4530,0.22913907284768212
2,B,170,20,150,7.5,30,4,255,456,0.13213213213213212,1091,1113.7323556370302,4440,0.225
2,B,170,20,150,7.5,30,5,511,42,0.027184466019417475,839,1536.470798569726,2431,0.21184697655285892
2,B,170,20,150,7.5,30,5,511,123,0.062385321100917435,859,1444.6484284051223,2524,0.2159270998415214
2,B,170,20,150,7.5,30,5,511,456,0.04421052631578947,862,1451.6647331786544,2331,0.20377520377520378
2,B,200,50,150,3.0,30,0,15,42,0.8874410244888788,520,841.651923076923,3780,1.1775132275132276
2,B,200,50,150,3.0,30,0,15,123,0.889216799091941,552,841.7119565217391,3660,1.203551912568306
2,B,200,50,150,3.0,30,0,15,456,0.8927947598253275,536,729.1529850746268,3690,1.2411924119241193
2,B,200,50,150,3.0,30,1,31,42,0.63268156424581,560,1757.3428571428572,3960,0.3616161616161616
2,B,200,50,150,3.0,30,1,31,123,0.6329284750337382,537,1659.022346368715,4080,0.36323529411764705
2,B,200,50,150,3.0,30,1,31,456,0.643646408839779,566,1637.3056537102473,3870,0.37416020671834627
2,B,200,50,150,3.0,30,2,63,42,0.39800995024875624,556,2061.6492805755397,3630,0.22148760330578512
2,B,200,50,150,3.0,30,2,63,123,0.3819530284301607,536,2110.498134328358,3750,0.21573333333333333
2,B,200,50,150,3.0,30,2,63,456,0.4041013268998794,552,1998.3858695652175,3720,0.2228494623655914
2,B,200,50,150,3.0,30,3,127,42,0.21712538226299694,558,2149.1863799283155,3870,0.16899224806201552
2,B,200,50,150,3.0,30,3,127,123,0.23323615160349853,526,2344.5627376425855,3960,0.17323232323232324
2,B,200,50,150,3.0,30,3,127,456,0.208,551,2264.0744101633395,3750,0.16666666666666666
2,B,200,50,150,3.0,30,4,255,42,0.1049618320610687,542,2339.409594095941,3810,0.13753280839895013
2,B,200,50,150,3.0,30,4,255,123,0.15122873345935728,522,2156.9942528735633,3690,0.14336043360433603
2,B,200,50,150,3.0,30,4,255,456,0.12878787878787878,532,2293.5827067669175,3720,0.14193548387096774
2,B,200,50,150,3.0,30,5,511,42,0.0449438202247191,456,2624.0482456140353,2405,0.14802494802494803
2,B,200,50,150,3.0,30,5,511,123,0.04481792717086835,455,2790.567032967033,2249,0.15873721654068476
2,B,200,50,150,3.0,30,5,511,456,0.018404907975460124,442,2726.997737556561,2003,0.16275586620069896
2,B,230,80,150,1.875,30,0,15,42,0.8824175824175824,363,1313.7658402203856,3210,0.8504672897196262
2,B,230,80,150,1.875,30,0,15,123,0.88635566467906,362,1381.9585635359117,3240,0.8799382716049383
